email,dayOfWeek,startTime,endTime,isAvailable,isRecurring
john.smith@tailtown.com,1,09:00,17:00,true,true
john.smith@tailtown.com,2,09:00,17:00,true,true
john.smith@tailtown.com,3,09:00,17:00,true,true
john.smith@tailtown.com,4,09:00,17:00,true,true
john.smith@tailtown.com,5,09:00,17:00,true,true
jane.doe@tailtown.com,1,08:00,16:00,true,true
jane.doe@tailtown.com,2,08:00,16:00,true,true
jane.doe@tailtown.com,3,08:00,16:00,true,true
jane.doe@tailtown.com,4,08:00,16:00,true,true
jane.doe@tailtown.com,5,08:00,16:00,true,true
mike.johnson@tailtown.com,1,10:00,18:00,true,true
mike.johnson@tailtown.com,2,10:00,18:00,true,true
mike.johnson@tailtown.com,3,10:00,18:00,true,true
mike.johnson@tailtown.com,4,10:00,18:00,true,true
mike.johnson@tailtown.com,5,10:00,18:00,true,true
sarah.wilson@tailtown.com,1,07:00,15:00,true,true
sarah.wilson@tailtown.com,2,07:00,15:00,true,true
sarah.wilson@tailtown.com,3,07:00,15:00,true,true
sarah.wilson@tailtown.com,4,07:00,15:00,true,true
sarah.wilson@tailtown.com,5,07:00,15:00,true,true
emily.brown@tailtown.com,1,08:30,17:30,true,true
emily.brown@tailtown.com,2,08:30,17:30,true,true
emily.brown@tailtown.com,3,08:30,17:30,true,true
emily.brown@tailtown.com,4,08:30,17:30,true,true
emily.brown@tailtown.com,5,08:30,17:30,true,true
